Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1966,1966,ha,40300,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1966,1966,100 g/ha,104653,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1966,1966,t,421753,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1967,1967,ha,41740,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1967,1967,100 g/ha,104610,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1967,1967,t,436644,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1968,1968,ha,38300,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1968,1968,100 g/ha,104673,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1968,1968,t,400896,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1969,1969,ha,41550,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1969,1969,100 g/ha,104751,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1969,1969,t,435241,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1970,1970,ha,39600,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1970,1970,100 g/ha,102404,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1970,1970,t,405520,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1971,1971,ha,37349,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1971,1971,100 g/ha,104725,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1971,1971,t,391136,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1972,1972,ha,37440,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1972,1972,100 g/ha,104916,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1972,1972,t,392805,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1973,1973,ha,35820,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1973,1973,100 g/ha,104604,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1973,1973,t,374691,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1974,1974,ha,38780,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1974,1974,100 g/ha,104779,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1974,1974,t,406334,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1975,1975,ha,43940,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1975,1975,100 g/ha,104788,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1975,1975,t,460438,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1976,1976,ha,39060,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1976,1976,100 g/ha,104755,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1976,1976,t,409172,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1977,1977,ha,39260,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1977,1977,100 g/ha,104794,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1977,1977,t,411420,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1978,1978,ha,43170,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1978,1978,100 g/ha,104688,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1978,1978,t,451938,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1979,1979,ha,41550,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1979,1979,100 g/ha,104669,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1979,1979,t,434898,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1980,1980,ha,52820,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1980,1980,100 g/ha,104617,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1980,1980,t,552589,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1981,1981,ha,34112,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1981,1981,100 g/ha,123821,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1981,1981,t,422379,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1982,1982,ha,38610,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1982,1982,100 g/ha,123705,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1982,1982,t,477626,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1983,1983,ha,39180,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1983,1983,100 g/ha,123750,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1983,1983,t,484853,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1984,1984,ha,35060,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1984,1984,100 g/ha,123858,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1984,1984,t,434247,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1985,1985,ha,34000,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1985,1985,100 g/ha,140766,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1985,1985,t,478605,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1986,1986,ha,25000,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1986,1986,100 g/ha,155270,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1986,1986,t,388175,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1987,1987,ha,30000,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1987,1987,100 g/ha,163350,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1987,1987,t,490050,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1988,1988,ha,29500,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1988,1988,100 g/ha,169715,E,Estimated value,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1988,1988,t,500660,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1989,1989,ha,31570,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1989,1989,100 g/ha,169981,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1989,1989,t,536630,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1990,1990,ha,32887,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1990,1990,100 g/ha,164579,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1990,1990,t,541250,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1991,1991,ha,32812,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1991,1991,100 g/ha,157117,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1991,1991,t,515531,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1992,1992,ha,32145,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1992,1992,100 g/ha,175477,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1992,1992,t,564071,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1993,1993,ha,32777,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1993,1993,100 g/ha,147521,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1993,1993,t,483529,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1994,1994,ha,33286,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1994,1994,100 g/ha,166355,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1994,1994,t,553729,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1995,1995,ha,31369,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1995,1995,100 g/ha,190922,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1995,1995,t,598902,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1996,1996,ha,29359,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1996,1996,100 g/ha,174728,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1996,1996,t,512984,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1997,1997,ha,27832,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1997,1997,100 g/ha,180932,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1997,1997,t,503570,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1998,1998,ha,26934,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1998,1998,100 g/ha,193204,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1998,1998,t,520375,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,1999,1999,ha,26165,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,1999,1999,100 g/ha,237490,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,1999,1999,t,621392,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,2000,2000,ha,24277,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,2000,2000,100 g/ha,218419,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,2000,2000,t,530256,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,2001,2001,ha,22531,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,2001,2001,100 g/ha,216806,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,2001,2001,t,488485,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,2002,2002,ha,20139,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,2002,2002,100 g/ha,174927,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,2002,2002,t,352285,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,2003,2003,ha,20710,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,2003,2003,100 g/ha,194310,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,2003,2003,t,402416,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,2004,2004,ha,19965,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,2004,2004,100 g/ha,193487,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,2004,2004,t,386297,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,2005,2005,ha,19614,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,2005,2005,100 g/ha,211301,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,2005,2005,t,414445,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,2006,2006,ha,19861,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,2006,2006,100 g/ha,202796,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,2006,2006,t,402773,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,2007,2007,ha,18312,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,2007,2007,100 g/ha,243757,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,2007,2007,t,446367,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,2008,2008,ha,17808,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,2008,2008,100 g/ha,239700,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,2008,2008,t,426858,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,2009,2009,ha,17147,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,2009,2009,100 g/ha,253975,A,Official figure,
QCL,Crops and livestock products,33,Canada,5510,Production,515,Apples,2009,2009,t,435491,A,Official figure,
QCL,Crops and livestock products,33,Canada,5312,Area harvested,515,Apples,2010,2010,ha,16245,A,Official figure,
QCL,Crops and livestock products,33,Canada,5419,Yield,515,Apples,2010,2010,100 g/ha,228393,A,Official figure,
